Title,Text
친구 결혼식? 롱 원피스 하객룩,롱 원피스에 미들 펌프스를 매치하여 심플한 데일리룩을 연출하였다. 귀걸이로 포인트를 주었다.
프릴 리본 블라우스로 화사하게!,프릴 리본 블라우스에 버튼 포인트 스커트를 매치하여 화사한 스타일링을 하였다. 아이템은 톤을 맞추어 연출하였다.
페미닌하게! 체크 싱글 재킷,싱글 체크 자켓에 티셔츠와 슬림핏 진으로 시크한 스타일링을 하였다. 유니크한 백으로 포인트를 주었다.
단아한 체크스커트 걸리쉬룩,트임넥 티셔츠에 플레어 스커트로 라인이 돋보이는 오피스룩을 연출하였다. 펌프스로 라인을 살려주었다.
"캐주얼의 정석, 나그랑 티셔츠+볼캡",나그랑 티셔츠에 데님 반바지를 매치하여 이지캐주얼룩을 연출하였다. 볼캡으로 포인트를 주었다.
페블럼 블라우스로 완성하는 하객룩,페플럼 블라우스에 랩 스커트를 매치하여 결혼식 등 행사에 어울리는 스타일링을 하였다. 슬링백 펌프스로 포인트를 주었다.
스퀘어 넥 니트로 꾸안꾸 룩,스퀘어 넥 니트에 부츠컷 데님 팬츠를 매치하여 심플한 데일리룩을 연출하였다. 목걸이로 포인트를 주었다.
가을을 부르는 쉬폰 블라우스,쉬폰 블라우스에 부츠컷 진을 매치하여 선선해진 날씨에 어울리는 데일리룩을 연출하였다. 드롭 귀걸이로 포인트를 주었다.
버튼 원피스로 맞이하는 가을,유니크 버튼 원피스에 액세서리를 매치하여 러블리한 스타일링을 하였다. 귀걸이와 목걸이 세트로 여성스러움을 더 하였다.
미니스커트에 플랫 슈즈 매치하기,7부 티셔츠에 체크 랩 팬츠를 매치하여 심플한 데일리룩을 연출하였다. 귀걸이로 포인트를 주었다.
에스닉 스커트로 완성! 리조트 룩,자수 라운드 티셔츠에 프린팅 랩 스커트로 리조트룩을 연출하였다. 드롭 귀걸이로 포인트를 주었다.
우아한 누드톤 컬러의 세계,골지 니트에 프릴 스커트를 매치하여 결혼식 등에 어울리는 페미닌한 스타일링을 하였다. 목걸이로 포인트를 주었다.
"캠핑클럽, 내추럴 캠핑 룩!",라운드 티셔츠에 린넨 랩 원피스를 매치하여 심플한 데일리룩을 연출하였다. 니트 숄더백으로 포인트를 주었다.
"인생사진 남길 때, 플로피햇 어때요?",쉬폰 러플 원피스에 목걸이를 매치하여 러블리한 스타일링을 했다. 플로피햇으로 포인트를 주었다
"슬림 티셔츠+청바지, 모델핏 완성",슬림 티셔츠에 청바지를 매치하여 심플한 데일리룩을 연출하였다. 클러치백으로 멋스러움을 더 하였다.
데이트에 어울리는 체크 원피스,백 포인트 체크 원피스와 비치 모자로 나들이에 어울리는 스타일링을 하였다. 라탄 아이템으로 포인트를 주었다.
네온 컬러로 화사한 리조트룩,레터링 티셔츠에 와이드 팬츠를 매치하여 리조트 룩을 연출하였다. 발찌로 포인트를 주었다.
캠핑클럽 코디? 이지 캐주얼룩,린넨 반팔 티셔츠에 미니 스커트를 매치하여 이지 캐주얼룩을 연출하였다. 유니크한 가방으로 포인트를 주었다.
단아한 느낌의 미디 스커트,5부 니트에 체크 롱 스커트를 매치하여 심플한 오피스룩을 연출하였다. 메탈 시계로 포인트를 주었다.
체크 패턴으로 완성하는 오피스룩,린넨 니트에 언발란스 체크 스커트를 매치하여 톤온톤 스타일링을 하였다. 아이템도 톤을 맞추어 연출하였다.
"화려하고 싶다면, 빈티지 원피스",
